p_name,p_hs,p_univ,p_draft,p_drafted,p_debut,p_debut_war,p_main_team,p_career_war,p_no,p_hs_code,p_hs_loc
에반스,,,자유선발,한화,2001,-0.2,한화,-0.2,2210,,국외
엔리케스,,,자유선발,현대,2001,-0.6,현대,-0.6,2211,,국외
테일러,,,자유선발,현대,2001,2.2,현대,2.2,2223,,국외
필립스,,,자유선발,현대,2001,0.2,현대,0.2,2188,,국외
발데스,,,자유선발,LG,2007,,LG,3.1,2407,,국외
마르티네스,,,자유선발,삼성,2001,2.1,LG,8.4,2170,,국외
이송영,경동고,영남대,신고선수,한화,2001,0,한화,0,2183,50102,서울
김무성,경북고,계명대,신고선수,한화,2001,0,한화,0,2166,50701,경북
이대수,군산상고,,육성선수,SK,2002,,한화,15.4,10558,50501,전라
최경환,성남고,경희대,1차지명,LG,2000,-0.2,두산,5.6,10041,50108,서울
강민영,경남고,,1차지명,롯데,2000,-1.1,롯데,-1,2146,50802,경남
이승호,군산상고,,1차지명,SK,2000,2,SK,24.6,10147,50501,전라
조규수,북일고,,1차지명,한화,2000,2.4,한화,6.2,10226,50403,충청
김성호,광주상고,건국대,1차지명,해태,2005,,KIA,0,2340,50608,전라
이상현,춘천고,,1차지명,현대,2005,,현대,0,2346,50904,강원
배영수,경북고,,1차지명,삼성,2000,-0.6,삼성,32.4,10362,50701,경북
장준관,대구상고,,2차지명,LG,2000,0,LG,-1.1,2155,50711,경북
김주찬,충암고,,2차지명,삼성,2000,0.4,롯데,28,10239,50114,서울
마일영,대전고,경기대,2차지명,SK,2000,2.7,한화,6,10592,50402,충청
이범호,대구고,,2차지명,한화,2000,-0.3,한화,48,10559,50703,경북
이동학,마산고,,2차지명,현대,2003,,현대,-3.8,10447,50803,경남
김광수,인천고,,2차지명,LG,2000,-0.4,LG,0.3,10502,50209,경기
방승재,충암고,동국대,2차지명,두산,2004,,두산,-0.2,2312,50114,서울
박기혁,상원고,,2차지명,롯데,2000,0,롯데,2.3,10241,50705,경북
이명호,배명고,,2차지명,삼성,2002,,롯데,-0.2,2237,50105,서울
엄정욱,중앙고,,2차지명,SK,2000,-0.3,SK,7.1,10139,50112,서울
강영식,상원고,,2차지명,해태,2000,-0.5,롯데,15.7,10269,50705,경북
오윤,북일고,,2차지명,현대,2005,,키움,0.3,10413,50403,충청
김태완,경남고,중앙대,2차지명,LG,2004,,LG,3.1,10467,50802,경남
서정호,경남고,한양대,2차지명,롯데,2004,,롯데,-0.2,10260,50802,경남
배홍철,부경고,,2차지명,SK,2000,-0.1,SK,-0.1,2152,50804,경남
권영근,덕수고,건국대,2차지명,한화,2004,,한화,0.1,2304,50103,서울
유한준,유신고,동국대,2차지명,현대,2005,,KT,28.4,10627,50208,경기
황이갑,춘천고,연세대,2차지명,롯데,2004,,롯데,-0.1,2322,50904,강원
고동진,대전고,성균관대,2차지명,한화,2004,,한화,2.7,10666,50402,충청
이영수,대구상고,한양대,2차지명,해태,2005,,KIA,-0.3,10017,50711,경북
송현우,인천고,건국대,2차지명,LG,2004,,LG,-1,10517,50209,경기
정재훈,배명고,단국대,2차지명,두산,2006,,두산,-0.3,2392,50105,서울
박진환,경남고,동아대,2차지명,롯데,2004,,롯데,-0.7,10245,50802,경남
조문기,중앙고,고려대,2차지명,한화,2004,,한화,0,2317,50112,서울
박기남,배재고,단국대,2차지명,LG,2004,,KIA,6.2,10011,50106,서울
홍마태,중앙고,고려대,2차지명,두산,2004,,두산,0,2321,50112,서울
조영민,광주제일고,연세대,2차지명,한화,2004,,SK,6,10675,50602,전라
김상현,군산상고,세한대,2차지명,해태,2001,,KIA,9.6,10007,50501,전라
김성태,장충고,,2차지명,현대,2002,,현대,-1.8,10428,50111,서울
진종길,부산고,동의대,2차지명,삼성,,,,,15792,50805,경남
민경수,충암고,경성대,2차지명,LG,2004,,LG,1.2,10509,50114,서울
정진용,한서고,홍익대,2차지명,두산,2000,-0.2,두산,0.5,2158,50115,서울
강관식,공주고,성균관대,2차지명,롯데,2005,,두산,0,2353,50401,충청
허진석,덕수정보고,,2차지명,한화,2000,-0.9,한화,-0.3,2162,50104,서울
허용,덕수정보고,경희대,2차지명,LG,2004,,LG,-0.1,2320,50104,서울
박정권,전주고,동국대,2차지명,SK,2004,,SK,21.3,10096,50502,전라
이창훈,북일고,연세대,2차지명,한화,2004,,한화,0.2,2316,50403,충청
손기현,경주고,건국대,2차지명,LG,2005,,LG,-0.1,2360,50702,경북
전영삼,용마고,동아대,2차지명,롯데,2000,0.8,롯데,0.8,2156,50807,경남
방진호,동산고,경남대,2차지명,한화,2001,,한화,-0.6,2173,50202,경기
주창훈,광주동성고,원광대,2차지명,해태,2005,,KIA,-0.1,2348,50601,전라
신철인,경동고,,2차지명,현대,2000,1.3,현대,22.5,10444,50102,서울
심수창,배명고,한양대,2차지명,LG,2004,,LG,1,10518,50105,서울
김영완,전주고,전남과학대,2차지명,SK,2000,-0.5,SK,1.5,10138,50502,전라
조윤채,광주제일고,동국대,2차지명,한화,2002,,한화,0.4,2244,50602,전라
이상현,휘문고,중앙대,2차지명,한화,2000,-0.1,한화,0,2127,50116,서울
해리거,,,자유선발,LG,2000,6.9,LG,9.7,2161,,국외
뮬렌,,,자유선발,SK,2000,-0.1,SK,-0.1,2115,,국외
브리또,,,자유선발,SK,2000,5.7,SK,23.3,2120,,국외
혼즈,,,자유선발,SK,2000,0.3,SK,0.3,2143,,국외
풀리엄,,,자유선발,SK,2000,1.4,SK,1.4,2141,,국외
콜,,,자유선발,SK,2000,-0.3,두산,3,2135,,국외
파머,,,자유선발,두산,2000,1.9,두산,1.6,2160,,국외
